时间[min]	数据[pA]
0.0000	7.8170
0.0003	7.8170
0.0007	7.8170
0.0010	7.8180
0.0013	7.8180
0.0017	7.8180
0.0020	7.8180
0.0023	7.8180
0.0027	7.8180
0.0030	7.8180
0.0033	7.8180
0.0037	7.8180
0.0040	7.8180
0.0043	7.8180
0.0047	7.8180
0.0050	7.8190
0.0053	7.8190
0.0057	7.8190
0.0060	7.8190
0.0063	7.8190
0.0067	7.8190
0.0070	7.8190
0.0073	7.8200
0.0077	7.8200
0.0080	7.8200
0.0083	7.8200
0.0087	7.8200
0.0090	7.8200
0.0093	7.8200
0.0097	7.8200
0.0100	7.8200
0.0103	7.8200
0.0107	7.8200
0.0110	7.8200
0.0113	7.8200
0.0117	7.8200
0.0120	7.8200
0.0123	7.8200
0.0127	7.8200
0.0130	7.8200
0.0133	7.8190
0.0137	7.8190
0.0140	7.8190
0.0143	7.8190
0.0147	7.8190
0.0150	7.8190
0.0153	7.8190
0.0157	7.8190
0.0160	7.8190
0.0163	7.8190
0.0167	7.8190
0.0170	7.8190
0.0173	7.8190
0.0177	7.8190
0.0180	7.8190
0.0183	7.8190
0.0187	7.8190
0.0190	7.8190
0.0193	7.8190
0.0197	7.8190
0.0200	7.8190
0.0203	7.8190
0.0207	7.8190
0.0210	7.8190
0.0213	7.8190
0.0217	7.8190
0.0220	7.8180
0.0223	7.8180
0.0227	7.8180
0.0230	7.8180
0.0233	7.8180
0.0237	7.8180
0.0240	7.8170
0.0243	7.8170
0.0247	7.8170
0.0250	7.8170
0.0253	7.8170
0.0257	7.8170
0.0260	7.8170
0.0263	7.8170
0.0267	7.8170
0.0270	7.8170
0.0273	7.8170
0.0277	7.8170
0.0280	7.8170
0.0283	7.8170
0.0287	7.8170
0.0290	7.8170
0.0293	7.8170
0.0297	7.8170
0.0300	7.8170
0.0303	7.8170
0.0307	7.8170
0.0310	7.8170
0.0313	7.8170
0.0317	7.8170
0.0320	7.8170
0.0323	7.8170
0.0327	7.8170
0.0330	7.8170
0.0333	7.8170
0.0337	7.8170
0.0340	7.8170
0.0343	7.8170
0.0347	7.8170
0.0350	7.8170
0.0353	7.8170
0.0357	7.8180
0.0360	7.8180
0.0363	7.8180
0.0367	7.8180
0.0370	7.8180
0.0373	7.8180
0.0377	7.8180
0.0380	7.8180
0.0383	7.8180
0.0387	7.8180
0.0390	7.8180
0.0393	7.8180
0.0397	7.8180
0.0400	7.8180
0.0403	7.8180
0.0407	7.8180
0.0410	7.8180
0.0413	7.8180
0.0417	7.8180
0.0420	7.8180
0.0423	7.8180
0.0427	7.8180
0.0430	7.8180
0.0433	7.8180
0.0437	7.8180
0.0440	7.8180
0.0443	7.8180
0.0447	7.8180
0.0450	7.8180
0.0453	7.8180
0.0457	7.8180
0.0460	7.8180
0.0463	7.8170
0.0467	7.8170
0.0470	7.8170
0.0473	7.8170
0.0477	7.8170
0.0480	7.8170
0.0483	7.8170
0.0487	7.8170
0.0490	7.8170
0.0493	7.8170
0.0497	7.8170
0.0500	7.8170
0.0503	7.8170
0.0507	7.8170
0.0510	7.8170
0.0513	7.8170
0.0517	7.8170
0.0520	7.8170
0.0523	7.8170
0.0527	7.8170
0.0530	7.8180
0.0533	7.8180
0.0537	7.8180
0.0540	7.8180
0.0543	7.8180
0.0547	7.8180
0.0550	7.8180
0.0553	7.8180
0.0557	7.8180
0.0560	7.8180
0.0563	7.8190
0.0567	7.8190
0.0570	7.8190
0.0573	7.8190
0.0577	7.8190
0.0580	7.8190
0.0583	7.8190
0.0587	7.8200
0.0590	7.8200
0.0593	7.8200
0.0597	7.8200
0.0600	7.8200
0.0603	7.8200
0.0607	7.8200
0.0610	7.8200
0.0613	7.8200
0.0617	7.8200
0.0620	7.8200
0.0623	7.8200
0.0627	7.8200
0.0630	7.8200
0.0633	7.8200
0.0637	7.8200
0.0640	7.8210
0.0643	7.8200
0.0647	7.8200
0.0650	7.8200
0.0653	7.8200
0.0657	7.8200
0.0660	7.8200
0.0663	7.8200
0.0667	7.8200
0.0670	7.8200
0.0673	7.8200
0.0677	7.8200
0.0680	7.8200
0.0683	7.8200
0.0687	7.8200
0.0690	7.8200
0.0693	7.8200
0.0697	7.8190
0.0700	7.8190
0.0703	7.8190
0.0707	7.8190
0.0710	7.8190
0.0713	7.8190
0.0717	7.8190
0.0720	7.8190
0.0723	7.8180
0.0727	7.8180
0.0730	7.8180
0.0733	7.8180
0.0737	7.8180
0.0740	7.8180
0.0743	7.8180
0.0747	7.8180
0.0750	7.8170
0.0753	7.8170
0.0757	7.8170
0.0760	7.8170
0.0763	7.8170
0.0767	7.8170
0.0770	7.8170
0.0773	7.8170
0.0777	7.8170
0.0780	7.8170
0.0783	7.8170
0.0787	7.8170
0.0790	7.8170
0.0793	7.8170
0.0797	7.8170
0.0800	7.8170
0.0803	7.8170
0.0807	7.8170
0.0810	7.8170
0.0813	7.8170
0.0817	7.8170
0.0820	7.8170
0.0823	7.8170
0.0827	7.8170
0.0830	7.8170
0.0833	7.8170
0.0837	7.8170
0.0840	7.8170
0.0843	7.8170
0.0847	7.8170
0.0850	7.8170
0.0853	7.8170
0.0857	7.8170
0.0860	7.8170
0.0863	7.8170
0.0867	7.8170
0.0870	7.8160
0.0873	7.8160
0.0877	7.8160
0.0880	7.8160
0.0883	7.8160
0.0887	7.8160
0.0890	7.8160
0.0893	7.8160
0.0897	7.8170
0.0900	7.8170
0.0903	7.8170
0.0907	7.8160
0.0910	7.8160
0.0913	7.8160
0.0917	7.8170
0.0920	7.8170
0.0923	7.8170
0.0927	7.8160
0.0930	7.8160
0.0933	7.8160
0.0937	7.8160
0.0940	7.8170
0.0943	7.8170
0.0947	7.8170
0.0950	7.8160
0.0953	7.8160
0.0957	7.8160
0.0960	7.8160
0.0963	7.8160
0.0967	7.8160
0.0970	7.8160
0.0973	7.8160
0.0977	7.8160
0.0980	7.8160
0.0983	7.8160
0.0987	7.8160
0.0990	7.8160
0.0993	7.8160
0.0997	7.8160
0.1000	7.8170
0.1003	7.8170
0.1007	7.8160
0.1010	7.8160
0.1013	7.8170
0.1017	7.8170
0.1020	7.8170
0.1023	7.8170
0.1027	7.8170
0.1030	7.8170
0.1033	7.8170
0.1037	7.8170
0.1040	7.8170
0.1043	7.8170
0.1047	7.8170
0.1050	7.8170
0.1053	7.8170
0.1057	7.8170
0.1060	7.8170
0.1063	7.8170
0.1067	7.8160
0.1070	7.8160
0.1073	7.8170
0.1077	7.8170
0.1080	7.8170
0.1083	7.8170
0.1087	7.8170
0.1090	7.8160
